id,name,shop_url,agb_url;;;;;;
199,CS-Multimedia GmbH,www.cs-multimedia.de,https://www.cs-multimedia.de/AGB-und-Kundeninformationen;;;;;;
200,Duschmeister GmbH &amp; Co. KG,www.duschmeister.de,https://www.duschmeister.de/kontakt-agb.php;;;;;
201,SOPO Handelsges.m.b.H,www.sopo.at,https://www.sopo.at/Unsere-AGB:_:3.html;;;;;;
202,Ravensburger Fotoversand Foto Bantle GmbH,www.fotobantle.de,https://www.fotobantle.de/info/allgemeine-geschaeftsbedingungen.html;;;;;;
203,KB KfZ-Teile Internet Vertriebs GmbH,www.reifenchampion.de,http://www.reifenchampion.de/agb.html;;;;;;
204,KP Family International GmbH,www.babyartikel.de,https://www.babyartikel.de/agb;;;;;;
205,Forum Apotheke - Apotheker Johann Thoma e.K.,www.meine-onlineapo.de,https://www.meine-onlineapo.de/agb_popup.php;;;;;;
206,ACH Autocolor Marc Becker KG,www.ach-shop.com,https://www.ach-shop.com/agb;;;;;;
207,AFB Elektronik OHG,www.elektrotools.de,http://www.elektrotools.de/Inhalt/Unsere-AGB-B2C;;;;;;
208,Firstcom Trading GmbH,carbonphone.de,http://carbonphone.de/info/allgemeine-geschaeftsbedingungen.html;;;;;;
209,Mega-Sparmarkt GmbH,www.megasparmarkt.de,https://www.megasparmarkt.de/ueber-uns/agb/;;;;;;
210,MIFU Spielwarenhandels GmbH,www.mifus.de,https://www.mifus.de/AGB-Rechtliches/;;;;;;
211,Fa. Mounaco Handel für Elektrowerkzeuge,www.mounaco.de,https://www.mounaco.de/shop/shop_content.php?coID=3;;;;;;
212,Pneureo GmbH &amp; Co. KG,www.e-tyre.de,http://www.e-tyre.de/agb.html;;;;;
213,Global-Kitchen &amp; Electrics GmbH,www.global-kitchen.de,http://www.global-kitchen.de;;;;;
214,Elektromarkt-Schmaus Inh.Willi Schmaus,www.schmausshop.de,http://www.schmausshop.de/de/wisl_s-cms/_redaktionell/1/Informationen/1/.html;;;;;;
215,Maternia,www.321linsen.de,https://www.321linsen.de/agb.html;;;;;;
216,AmbienteDirect GmbH,www.ambientedirect.com,https://www.ambientedirect.com/allgemeine-infos/agb;;;;;;
217,notebooksbilliger.de AG,www.nullprozentshop.de,http://www.nullprozentshop.de/agb/;;;;;;
218,4 allsports GmbH,www.4thebike.de,https://www.4thebike.de/agb;;;;;;
219,Foto Götz GmbH,shop.digimas.com,http://shop.digimas.com/shop_content.php?coID=3;;;;;;
220,Foto Mundus Inh. Lutz Bergknecht e.K.,www.foto-mundus.de,https://www.foto-mundus.de/agb;;;;;;
221,AW Maschinenhandel - Inhaber: Adalbert Wieczorek,www.aw-tools.de,https://www.aw-tools.de/AGB;;;;;;
222,internetstores GmbH,www.bikeunit.de,https://www.bikeunit.de/agb.html;;;;;;
223,K &amp; M Computer GmbH &amp; Co. KG,www.kmcomputer.de,http://www.kmcomputer.de/unsere-agb;;;;
224,Autoteilemann GmbH,www.autoteilemann.de,https://www.autoteilemann.de/rechtliches/agb/;;;;;;
225,ARDMED Medical Supplies GmbH &amp; Co. KG,www.ardmed.de,https://www.ardmed.de/AGB-Widerruf;;;;;
226,Trisuno | Sebastian Fischer,www.rauchmelder-experten.de,https://www.rauchmelder-experten.de/agb;;;;;;
227,Apotheke im Paunsdorf Center Inh. Kirsten Fritsch e. K.,www.apodiscounter.de,https://www.apodiscounter.de/AGB.html;;;;;;
